Username,Tanggal,Komentar,Aspek,Sentimen
@Jiejiell,2025-12-25T03:06:18Z,Mening hp ijo yg itu kasih aku bang🙇🏻‍♀️🙇🏻‍♀️,Umum,Netral
@yumecintaameterasu8876,2025-12-24T13:56:27Z,kalau hp buatan cina itu cpt rusak,Umum,Netral
@victormangarek3003,2025-12-23T05:47:34Z,ip17 basic alternatif  setara dengan hp android apa ? ada saran ?,Umum,Netral
@dhiafasyakirin8929,2025-12-23T02:01:19Z,Ijo Sage Best yaqin,Umum,Positif
@KembangTrotoar,2025-12-22T23:39:20Z,"udah dua kali pake ip dari 12 14 smpe kini udah agak bosan sebab layar nya masih ada tompel belum berubah dari jaman dulu ,sedangkan merk lain udah full screen ,bahkan ada hp baru yg kamera depan tidak kelihatan alias sembunyi dibalik layar",Kamera,Netral
@dress2feelpretty,2025-12-22T17:54:42Z,Harga iphone 17 di indonesia berapa ya?,Harga,Netral
@ninooroffice5394,2025-12-21T05:14:09Z,Wishlist bgt.. bentar lgi ultah.. please ad yg kasih ini Hp😊,Umum,Netral
@muharif2258,2025-12-16T09:12:15Z,Tutor live ganda di facebook pakai 17 basic,Umum,Netral
@lindhayanthi2023,2025-12-15T16:08:59Z,Kan dia review hp yah trus klo udah di review apakah akan di jual atau gimna(bertanya dg soft spoken),Umum,Netral
@mlhedon,2025-12-15T10:59:37Z,speaker pindah ke kiri🥹🥹,Umum,Netral
@messijuli778,2025-12-15T02:08:16Z,Pajak Rp: suka2,Umum,Positif
@wire157,2025-12-14T12:38:56Z,Sebagai penggemar zoom di iphone pro saya kok gak yakin hasil 17 pro😢😢,Kamera,Netral
@uta_utari,2025-12-12T07:31:50Z,"Bagusan warna biru njer,menarik sih semoga bisa kebeli deh.",Desain,Positif
@annasetia4,2025-12-11T15:15:54Z,Ko kameranya bagusan 16 pro,Kamera,Positif
@DsafraaaVerdi,2025-12-10T02:57:22Z,BG bagi dong IP 17 nyaa gua udah subscribe ❤❤,Umum,Netral
@NurKhalid-d3t,2025-12-09T12:36:12Z,Saya mau bang,Umum,Netral
@mekshaaqlate673,2025-12-09T12:22:53Z,Keren.. tapi jelek amat warna nya. terang menerang 😂,Desain,Negatif
@sriindah5046,2025-12-08T22:00:17Z,Fitur biasa jd luar bisa ketika ip yg punya wkwkwkwkwk,Umum,Netral
@elismansitumorang9454,2025-12-08T19:19:39Z,"Aku udah lama nunggu iPhone terbaik, tapi nunggunya yang subsidi aja KLO ada nanti
😂😂😂😂😂",Umum,Netral
@adamsyahril2190,2025-12-08T11:27:22Z,"Saran dong, mending iPhone 17 reguler, apa iPhone 16 pro nambah 300-400rb??",Umum,Netral
@FitriYani-jb5vb,2025-12-07T19:33:21Z,Makin sini kok makin pelit sih si iPhone,Umum,Netral
@madelouies24-k7m,2025-12-07T12:22:27Z,Kapan di riview bang iPhone nya ?,Umum,Netral
@aldinurhafidz7141,2025-12-06T10:09:07Z,Nunggu iPhone 20 Aja Nanggung,Umum,Netral
@diycrafting66,2025-12-06T03:35:00Z,"menurut gw cuma Chanel ini yang agak berani review tiap brand memperlihatkan ketidak sukaan nya, bukan hanya muji2 saja... 😂",Umum,Netral
@elinnun,2025-12-06T02:27:26Z,warna dynamight deku,Desain,Netral
@ekonuroctavianlubis1617,2025-12-05T19:56:49Z,"Bang David kok kalau review iPhone ga pernah bahas baterainya kalau dipakai streaming habis berapa%, buat MLBB berapa, buat Genshin berapa, trus ngecharge nya sekian menit keisi sekian persen .. ? Kalau Android kan biasanya detail tuh 😁",Baterai,Netral
@williamzhang915,2025-12-03T01:40:57Z,review nya kayanya belom keluar ya ?,Umum,Netral
@fadilla308,2025-12-03T00:21:31Z,Pajak ngga ngotak,Umum,Netral
@Kristian_dodi,2025-12-02T16:24:19Z,"semoga bulan ini beli kebeli ya allah, amin ❤️",Umum,Netral
@nataliafransisca9247,2025-12-02T15:00:43Z,"Kak mau tanya, kalau kepala charger utk ip17 promax bagus anker atau u green?",Umum,Netral
@AgusAja-j7o,2025-12-02T06:19:39Z,Apa faedahnya 😅 beli hp mahal mahal wk lancar buat ngegame aje Uda Seneng banget gw,Baterai,Negatif
@luckyarjuna7900,2025-12-01T17:08:10Z,"Kerja Gaji Gak Seberapa.. 
Sementara Biaya Hidup Itu Sangat Mahal..
Pemasukan Sedikit. 
Sementara Pengeluaran Banyak.
Dan Apa Apa Serba Mahal.. 
Sungguh Gak SeBanding.. 
JanganKan KePikiran Buat Beli Iphone.. 
Buat Kebutuhan Sehari Hari Aja Susah..",Baterai,Negatif
@MrAri-gi1kj,2025-12-01T06:24:20Z,Unboxing air pad17pro bag,Umum,Netral
@JC-sc8rw,2025-12-01T06:06:34Z,Poco be like : krn saya murah aja ya,Harga,Netral
@AldoKidsTV,2025-11-30T17:19:03Z,Pajaknya doang segitu😂 kaya bgt,Umum,Netral
@dimassantui,2025-11-30T10:02:30Z,17 pro vs 17 pro hdc david,Umum,Netral
@KacofySkinBeauty,2025-11-30T03:40:28Z,Charger ip 17 pakai apa bang yg worth it,Harga,Positif
@Cundamani-t4c,2025-11-29T23:14:00Z,"Di Singapore iphone pro max 1.900$  256 gb lbh dikit, aku takut bawa balik indo ntar kena pajak mahal.... 😢 kalo mau 2tb 3100$  
Yang pro  256 gb 1750$",Baterai,Negatif
@Penerbang_roket,2025-11-29T15:06:13Z,"klo yg iphone 17pro itu, warna orange terinvirasi  dari warna pabrikan motor KTM tim orange 👍 mantap sih warna nya GG abis, lain dari yg lain dan hanya iphone 17pro yg make warna orange, nice...",Desain,Positif
@zvrstfx,2025-11-29T11:12:56Z,25:00 vibesnya kek perampok wlwkw,Umum,Netral
@meow-kucheng,2025-11-29T09:33:12Z,Iklan doang 😂,Umum,Netral
@SebastianTisten-eu3he,2025-11-26T13:04:21Z,Justru bagus warna 17 pro,Desain,Positif
@Tataian-y1q,2025-11-26T05:04:04Z,Kapan oi reviewnya,Umum,Netral
@barikmuhammad1714,2025-11-25T13:56:35Z,Warna Jackmania banget ya,Desain,Netral
@mmhusein7161,2025-11-24T11:35:35Z,kapan video review nya,Kamera,Netral
@YasminMumtasya,2025-11-24T07:43:18Z,"menurut ku sih yang iphone 17 bagus kamera nya jernih,Zoom nya bagus dan pas kk coba vidio dia gk ada edit filtur sedikit pun. jernih kameranya nya",Kamera,Positif
@Emotbatu98,2025-11-23T15:31:41Z,Paling senang liat hijau sa*ge😍,Umum,Netral
@fikriekanandaa,2025-11-23T10:44:52Z,Bismillah semoga kita tahun depan bisa upgrade hp ke iphone 17 pro aamiin,Umum,Netral
@janelindsay7327,2025-11-22T17:52:27Z,"Ya ya ya, bukan cuma saya yg ngelihat warnanya rada gengges. Pertama kali pilih varian iphone, langsung kepincut ip 17 base. Dari segi design simple, elegan dan menurut saya lumayan handy dan pilihan warnanya masih kalem dan ok. Gak gonjreng!",Desain,Netral
@firmanjuma,2025-11-21T07:06:56Z,Biru atau hijau ?,Umum,Netral
@fahrizalradiansyah6164,2025-11-21T00:15:03Z,mana reviewnya 😂,Umum,Netral
@salsabilasocia,2025-11-20T08:47:20Z,Bang kapan review ip17 base modelnya. Lagi pertimbangin ip17 256gb vs ip15 256gb,Performa,Netral
@SupplierKomodity,2025-11-19T23:43:09Z,cara beli second hp gadget in gmn,Umum,Netral
@clarissa_1234,2025-11-18T00:19:11Z,nungguin review lengkap ko david ttg iphone 17 ini kok gak nongol2 yah?? apa cuma ini aja? 🥺,Umum,Netral
@yustikatalenta4915,2025-11-17T08:41:46Z,Mending 17 basic atau 16 pro?,Umum,Netral
@OnlineNugi-h4i,2025-11-17T03:54:55Z,"Soal foto kalau yg ak amati ya. Misal ad perpindahal dari 2 ke 3 gt contohnya. Nnti di agak ngeblur dikit tp klu udah smpe di 3 dia jernih lg tp klu masih di 2,8/2,9 gt dia kya cba ad peralihannya contoh ny kya muter lensa gt lah paham g sih gt lah pokoknya😅😅",Kamera,Netral
@atalyadeleon8636,2025-11-16T12:18:53Z,"bang bahas topik security hp bang, dan buat antisipasi hp dimaling, per brand hehe",Umum,Positif
@bayantini8935,2025-11-15T15:41:44Z,aku tidak suaka....aku tetap 13...pro,Umum,Netral
@raysharania5217,2025-11-15T12:47:32Z,Kak David unboxing laptop advance dong,Umum,Positif
@silabanjavabry3785,2025-11-15T12:46:29Z,"Coba bang
Ip 16 promax vc ip 17 promax",Umum,Netral
@aburosyidah,2025-11-15T06:59:07Z,selamat anda membuat saya iri,Umum,Netral
@NanaSusanto-g4m,2025-11-15T04:39:05Z,Sm huawei bgz mn bang??? Nnt di bandingin bang,Umum,Netral
@ShalehHajrah,2025-11-15T02:43:05Z,Ka bagusan recommend MN 16 pro te 17 basic ka,Umum,Positif
@RISKI_SUKA_RENDANG,2025-11-14T17:43:11Z,Pajak setara dengan hp bagus 🗿,Umum,Positif
@jayaqihaje313,2025-11-14T17:12:19Z,Bg bikin rekomendssi hp 1 jta zampe flagship,Performa,Netral
@footballGame16,2025-11-14T13:54:40Z,"Masih setia dengan Oppo a33 2020😂 bukan nya gak mau upgrade tapi pengen aja marah-marah tiap hari karena hp ini ,maen game dls aja berat apalagi etusbol😂😂😂",Performa,Netral
@Dudung757,2025-11-14T04:57:54Z,17 pro dari belakang kayak HP mainan 😂😂😂,Umum,Netral
@reviewapaajadeh3079,2025-11-13T16:47:34Z,Langsung BATAL BELI GW abis liat david review iphone 17 pro .. hasil fotonya burik trnyata,Kamera,Netral
@mogami-san4012,2025-11-13T15:10:20Z,29:47 ini aku diang atau foto di iPhone 17 pro agak kekuningan,Kamera,Netral
@yasinnnn-x1x,2025-11-13T09:46:51Z,"Review hp 10%
Nyebut hijau sage 90%",Umum,Netral
@tarumajaya32,2025-11-12T15:59:16Z,"Gw yg udh nyobain 16 up ke 17 pro asli kameranya lebih ok yg 16, lebih detail sepertinyg di review, 17 pro udh kaya kena filter lebih halus, dan warna layar lebih kuning dibanding 16",Kamera,Netral
@cindyhargitas6240,2025-11-12T13:49:04Z,Ko david selain iphone 17 yang worthid dibeli tahun ini yang mana?,Umum,Netral
@OFFICIAL_DODOL-h7v,2025-11-12T09:55:41Z,Mudah mudahan bisa beli🙏,Umum,Netral
@BayuSahputra-n8v,2025-11-11T10:08:45Z,"Gilak pajak ipon 2...unit..8jt lebih,,,x ribuan unit,,njirr kaya pejabat(babu rakyat)",Umum,Netral
@andreasiniesta1338,2025-11-10T03:57:01Z,"jangan bilang hijau miskin bang, TYM",Umum,Netral
@KadekRestu-p2v,2025-11-10T03:05:38Z,Poco x17 pro max🗿,Umum,Netral
@Gobedlia1933,2025-11-10T00:22:44Z,Bang David cek nubia redmagic 11 pro+,Umum,Netral
@marwahsaridewi2692,2025-11-09T04:42:42Z,Bang review infinix xpad 20 pro donggg🙏🙏🙏🙏,Umum,Netral
@DOLAN_93,2025-11-09T03:24:24Z,31:45 jarang² youtuber ngomong gitu david doang yg berani,Umum,Netral
@tandytanz,2025-11-08T22:19:41Z,apakah udah setting Camera preServe nya dinyalain semua? defaultnya 17 itu kan 24 mp jd harus d set ke 48 MP kalo misal default setting ya sama aja kek 16 la. soalnya default settingnya itu untuk optimalisasi storage biar ga terlalu boros size filenya,Baterai,Netral
@channelHeru1789,2025-11-08T07:38:48Z,Kls kapan bisa beli aku,Umum,Netral
@SuhartoReksoJudha,2025-11-08T05:23:07Z,"motor trail KTM.. 
.. orange ... 

matching.. ❤",Umum,Netral
@fllweryesmin,2025-11-07T12:04:03Z,"Kurang suka juga sih sama warna 17pm tapi it's okay, bisa ditutup case. Alhamdulillah Minggu depan IP 17pm aku Dateng sebagai hadiah untuk diriku❤",Baterai,Positif
@adhigunanugraha3020,2025-11-07T01:29:33Z,masih belum ada review khusus nya ni,Umum,Netral
@AzwLa,2025-11-06T23:55:01Z,Hanya iohone 15 dan 16 yg desainya mewah elegean. 😂 Kayaknya aku malu deh megang iPhone 17 soalnya kaya bukan hape poco poco hape nya Xiaomi entry oevel😂,Desain,Netral
@AlmightyWren,2025-11-06T22:26:33Z,Aaaaaa baru beli 16 pro dan masih gamon sama 17 basic karena sempet galau milih antara mereka 😭 please yakinin tapi buat ngonser masih worth it 16 pro kan... 😭😭😭,Harga,Positif
@percpaws,2025-11-06T18:06:41Z,"nonton video ini pake ip 13, semoga bisa menonton lagi memakai iphone 17 pro max aminnn",Kamera,Netral
@ibnuathoillahas-sakandary3052,2025-11-06T14:46:14Z,25:03 kayak POCO 😂,Umum,Netral
@ibnuathoillahas-sakandary3052,2025-11-06T14:45:08Z,"DAVID pengen bilang warna oranye iPhone JELEK, tapi ga enak aja bilangnya 😅😅😅",Desain,Negatif
@ibnuathoillahas-sakandary3052,2025-11-06T14:42:07Z,Kayak hp China gak sii 😅,Umum,Netral
@WicardaSand,2025-11-06T11:52:24Z,"Wah, review-nya jujur banget. Dompetku langsung bergetar pengen beli 🥲 ᴋᴜʀɪʀꜱʟᴏᴛ",Umum,Netral
@JEVRYNEO,2025-11-06T10:57:24Z,nonton video ini pake android 😢😢,Kamera,Netral
@its.moonie213,2025-11-06T09:05:07Z,"jadi mending ip 16 apa 17 ya, masih bingung",Umum,Netral
@Abihtemborotomaychannel,2025-11-05T13:01:52Z,BANG RIVEW KAN DONG KAMERAH VIDIO HP REALMI 15 PRO GAME OF THRONE KAN WAKTU ABANG REVEW KEMARIN KAMERAH VIDIONYA BLM ABANG SEVILKAN,Kamera,Netral
@anggarasutisna7031,2025-11-04T23:47:04Z,"Dari dulu pake iphone 6😁diejek temen ini itu, pas juli 2025 langsung ganti smsung s24 ultra",Umum,Netral
@PangJia-lg6xp,2025-11-04T16:12:06Z,G jadi beli ah,Umum,Netral
@xham6231,2025-11-04T06:03:40Z,"dari 5,7plus,XR,14pro (last lah udah paling mantap) cape banget ngikutin iphone jing 🥲",Umum,Positif
@roifnurwahid2080,2025-11-04T05:42:03Z,lagi liat riview iphone 17 promax nontonnya pake iphone 17 promax😊😊😊😊,Performa,Netral
@ConfusedBeachHammock-kg3vc,2025-11-04T03:08:12Z,Sampai Googling arti Sage. Ternyata tanaman obat herbal. Nice.,Umum,Netral
@inamfadlillah7904,2025-11-03T01:44:06Z,"Model nya jadi norak, bagus model lama",Umum,Positif
@rezhainakaro,2025-11-02T22:25:54Z,Jadi ingin merasakan teknologinya 😊😊,Umum,Netral
@SariYogaSwastiani,2025-11-02T03:42:54Z,menunggu review ipadnya jugaaaa😁,Umum,Netral
@AzwLa,2025-11-02T01:36:22Z,Knpa iphone17 pro kaya hape poco yg murah😂😂😂😂😂 desain belakang nya,Desain,Netral
@ziefebian9380,2025-11-01T07:47:55Z,Relate bgt jirr warna ijo tembok org miskin😂😂😂😂😂,Desain,Netral
@AlfaRiansyah-h3i,2025-11-01T01:42:28Z,Di luncur langsung beli 1:03 😊,Umum,Netral
@DyiauddinTorjun,2025-11-01T01:03:16Z,Warna gak suka sekali,Desain,Positif
@qemherlambang502,2025-10-31T22:27:18Z,"Kasiann ,, orang miskin akan senyum liat ini... 😂😂😂",Umum,Netral
@miru0202,2025-10-31T18:16:09Z,bismillah tahun depan,Umum,Netral
@oficialwanda_ku988,2025-10-31T17:14:13Z,Bang seneng banget jadi kamu rejekinya lancar sehat selalu.beda dg saya harus berusaha sekuat mungkin jadi TKW padahal seorang istri.😭😆doain ya bang rejekinya sama kaya Abang sehat sll,Umum,Netral
@chiikal30,2025-10-31T08:43:11Z,Bang itu hp Poco 17 pro ya,Umum,Netral
@andikoko6550,2025-10-31T07:12:08Z,Ijo EN u,Umum,Netral
@fauziahmade2795,2025-10-30T21:08:06Z,Pasar dipaksa nerima desain iphone yg skrang gk sih😂semoga nasib nya gk jadi ky brand suzuki yg kualitas bagus tpi desain aneh,Desain,Positif
@Katatiana,2025-10-30T16:07:31Z,Q juga lagi mikir soal warna. Mulai I phone 6 plus 8 plus 11 .13 pro .skrg 15 pro pengen up 17 pro tapi kalau sama warna . Putih dah biasa mau oren kok ya jlk 😂betul kata David dia hy unik,Performa,Netral
@FadliRizq12,2025-10-30T14:57:15Z,"🤓""120hz iphone = 1000hz android""",Umum,Netral
@sandialdrian2784,2025-10-30T13:22:22Z,Di bandingin sama bungkus kacang😢😂,Umum,Netral
@antonraharjo84,2025-10-30T08:41:33Z,info bang.kalau seperti adaptor 40w dynamic power adapter with 60w gak ada di ibox dan deler lainya. untuk beli di web nya apple gimana caranya ya.sdh tak coba mentok di alamat.mungkin ada cara lain.dan softcase nya juga pada kosong kadang.pliss,Baterai,Netral
@MNiam-bb1nl,2025-10-29T19:13:45Z,Guys doain gua punya uang 100m sebelum umur 30 tahun ❤❤,Umum,Netral
@HusnudLinda,2025-10-29T14:35:18Z,bang ga mau kirim iphone2 bekas reviewan nya apaaaahhh 😅,Umum,Netral
@DogmaPuppet,2025-10-29T12:36:28Z,"25:01 Segel Orochimaru di leher Sasuke.
Obat nyamuk Tiga Roda.",Umum,Netral
@GhifariNaufall,2025-10-29T10:04:57Z,❤iphone 17 pro max 2tb black,Umum,Netral
@mayurimayura,2025-10-29T08:58:07Z,Eh tp sama gak sih kayak kasusnya 13 pro/promax sama 14 pro/promax. Soal camera bagusan seri 13 drpd 14.,Umum,Positif
@ZENTHOR7,2025-10-29T04:35:00Z,kpn reviewnya bang,Umum,Netral
@mariaagista2937,2025-10-29T03:20:15Z,Liat vid ini sambil pake ip 17pro 😅,Umum,Netral
@NovaYudhaA,2025-10-29T02:03:46Z,jadi tau bisa fitur anti tema aplikasi jadi transparan wkwkwkwkwkw,Umum,Netral
@YusRizal-k9d,2025-10-28T20:39:10Z,"Pajak 9 juta, itu pajak loh. Mending kasih ke orang yang kurang mampu",Umum,Netral
@neurozuno,2025-10-28T16:49:39Z,wokwowk iya lagi dipakein case tertutup malah jadi POCO 🤣,Baterai,Netral
@desykumala.n3869,2025-10-28T11:36:35Z,Di jual gk sii habis di review,Umum,Netral
@suparmanyogyakarta,2025-10-28T10:37:35Z,Yogyakarta Indonesia hadir,Umum,Netral
@rendyachmadsyukur,2025-10-28T05:55:45Z,Mantap bang David,Umum,Positif
@Cinta-pr6io,2025-10-28T01:07:15Z,Iphone selalu ketinggalan jaman soal tekhnologi setelah Android😂,Umum,Netral
@dediirawan1599,2025-10-27T19:12:39Z,Hp Orang Bergaya Hidup Mewah Ini..,Umum,Netral
@aditrafalgar3253,2025-10-27T14:54:39Z,Udah sampai iphone 17 aja bentuknya masih ngebosenin 😅cuman beda warna doang,Desain,Netral
@CP9FFF,2025-10-26T15:31:36Z,13:30 iphone 15 PM juga bisa,Umum,Netral
@DoniArbani,2025-10-26T14:36:41Z,salpok sama merek nya momok,Umum,Netral
@Ramonaiverson222,2025-10-26T13:28:36Z,Hmm ternyata ip 14+ ku tidak begitu buruk wkkwwkwkwk,Umum,Netral
@MasyhudButon,2025-10-26T13:19:33Z,ekspresinya kayak nyesal gitu beli i Phone 17 Pro,Umum,Netral
@adhigunanugraha-b9i9j,2025-10-26T10:29:08Z,blm ada review full nya bang,Umum,Netral
@greenlandfamily-m5g,2025-10-26T07:12:15Z,"20:38 aku tau nyindir siapa Timothy 👉🏻🫩🤕
David ✋🏻😊👉🏻🤣🫢",Umum,Netral
@kampungdurianruntuh2600,2025-10-26T05:06:01Z,Kalau cari pengakuan iPhone 17 pro/max warna oranye memang terbaik,Desain,Netral
@saldijanuar21,2025-10-26T03:19:59Z,koplok ijo miskin😅😅😅,Umum,Netral
@fionaelkhansa6510,2025-10-26T03:08:39Z,ip 16 pro / 17 base ya,Umum,Netral
@ttrisamuel,2025-10-26T02:10:04Z,Jadi flash back duluuuu 2007 punya sony Ericsson walkman warna orens 🫶🏼🥹,Desain,Netral
@fitrihandayani2307,2025-10-26T01:49:23Z,"Mau nanyaaa buat yang pernah pake iPhone dan Samsung seri flagship, mendingan mana sih?😭",Performa,Netral
@maya_anggraini8656,2025-10-25T16:42:26Z,Belum tayang bang riviewny?,Umum,Netral
@Sidney7919,2025-10-25T15:53:45Z,Bukannya yang ijo Sage perasaan itu iphone 16,Umum,Netral
@budieratmawan3329,2025-10-25T12:55:55Z,"Dua varian:
17 Polos (thai green tea)
17 Pro Max (thai tea)",Umum,Netral
@jokobodo4696,2025-10-25T07:41:14Z,bacanya koq sa ge??? baca seij lah,Umum,Netral
@riskanurlaelani2147,2025-10-25T04:55:51Z,Banyak duit si abanggg,Umum,Netral
@longlife1126,2025-10-24T17:51:03Z,"Di lihat dari belakang, Kok jadi inget nokia n8 Symbian",Umum,Netral
@elanadiatnr331,2025-10-24T17:36:19Z,3:05 hijau missqueen g tuh 😂😂,Umum,Netral
@FarisLukman-zl7iz,2025-10-24T15:49:39Z,"Di tempat gua.. Yang pake iphon kebanyakan pegawai yang gajinya di bawah umr .. Klw pengusaha dan pembisnis yang udh punya mobil dan rumah mereka pake hp samsung dan ovvo,.. Gua iseng tanya kenapa gak beli iphone kan udh mampu.. Jawabanya tujuan mereka cari duit di dunia nyata bukan pamer hp yg setiap tahun, berlomba lomba ganti ke iphone terbaru.. 😂",Baterai,Netral
@FarisLukman-zl7iz,2025-10-24T15:43:25Z,"Iphone udh ke 17 aja ni. 
Perasaan gak ada perubahan besar dari tahun ke tahun.. Tpi harga bekasnya anjlok",Harga,Netral
@rezwaazrililhamsiregar1253,2025-10-24T10:54:53Z,"PILIH YANG SERIES GENAP, Series Ganjil emang selalu cobaan, Iphone 12, 14, 16, Jangan ke 17 nanti kalau pengen upgrade ke Iphone 18",Umum,Netral
@wahyurifai-f6f9k,2025-10-24T06:09:49Z,"nonton dulu aja, gatau belinya kapan",Umum,Netral
@ferryrisettoz5698,2025-10-24T04:03:18Z,"cuma mas david yg transfaran dalam menyampaikan fakta.
tengok in aja dulu vt nya , krn aku masih nganggur dan cm pake Realme 6 .
mau beli , belum ada duit soalnya",Umum,Netral
@MagdalenaSihombing-t3x,2025-10-24T03:01:58Z,Samsung S25 ultra : terbahak bahak😅,Umum,Netral
@emmaae457,2025-10-24T02:39:14Z,Herannya tetep laris,Umum,Netral
@inkdesign7,2025-10-23T13:19:06Z,"Kesan sy sih, biasa aja 😅",Umum,Netral
@MisbahBoysaputra,2025-10-23T12:31:13Z,S̤a̤l̤a̤m̤ k̤e̤n̤a̤l̤ b̤a̤n̤g̤.̤.̤d̤a̤v̤i̤d̤ g̤a̤n̤t̤e̤n̤g̤,Umum,Netral
@MellaMorgen,2025-10-23T12:08:11Z,AI nya kenapa ga smooth ya .. heran hiks muka menyong2 semua :(,Umum,Netral
@RajfiSkuy6,2025-10-23T11:49:38Z,Review yg resminya jg bang david,Umum,Netral
@asepbayupratama8913,2025-10-23T09:30:17Z,Kayaknya harus bertiga atau lebih orangnya koh david biar auto rotate,Umum,Netral
@sarilestari3213,2025-10-23T00:32:10Z,jd kesimpulannya bagusan 17 atau 16 pro nih ka???,Umum,Netral
@Raaraaay,2025-10-22T20:41:05Z,UPDATE pemakaian IP 17 nya dong bang selama beberapa minggu gimanaaa,Umum,Netral
@belladwiamalia925,2025-10-22T14:44:46Z,Jadi kesimpulannya mending 16 pro apa 17 pro ya bang,Umum,Netral
@Bellatrix-cho,2025-10-22T12:28:30Z,"Riview Apple Iphone Air dong,  desainnya bagus, pengen tau spesifikasi nya.",Desain,Positif
@irmamariam2541,2025-10-22T11:58:27Z,"Iphone klu gak cepat inovasi...bisa senasib seperti Nokia...,itu hanya bom waktu",Umum,Netral
@d_rger2058,2025-10-22T04:19:15Z,"Aslinya iphone itu bisa banget lo bikin kamera yang langsung bagus bgt, tpi sama mereka di komersilkan dengan tipe tipenya, saya analogikan kamera pada iphone 11 harusnya bisa aj langsung bagus seperti iphone 17 tpi mereka simpan kemajuan tsb dan di terapkan pada iphone 17 spy bisa dimonopoli",Kamera,Positif
@indynaqilah2156,2025-10-22T03:51:08Z,"Tolong sarannya🙏🏻 iphone sy 13 pro. Bagus ganti ke iphone 17pro atau google pixel 10 pro. Pemakaian biasa gak main game, tapi lebih focus ke photo krn suka traveling",Umum,Netral
@fathonahannisa8292,2025-10-22T02:39:33Z,Pertanyaannya mending stay di 16plus 128 atau upgrade ke 17basic 256 nih?,Umum,Netral
@cowboyy20,2025-10-22T01:22:28Z,reviewnya kapan bang?,Umum,Netral
@UdangPresto-v9h,2025-10-22T00:48:25Z,"Sebagai user iphone, model seri 17 pro/promax kurang banget. Model 17 basic sama Air masih bisa diterima lah desainnya.",Desain,Netral
@rizkanaufalianzahra1171,2025-10-21T23:23:23Z,Kalo iphone itu lbh bagus series ganjil apa genap guys?,Umum,Netral
@arhun310,2025-10-21T16:47:27Z,Mnurt sy bentuk 17 pro dari blkang terkesan kurg wow..malah nampak  jadul..nampak dri muka bang david kecewa dgn prodak baru ini😂,Umum,Negatif
@maulanaikya8062,2025-10-21T14:10:20Z,I phone 17 pro edisi bitcoin,Umum,Netral
@lastuanabisyaiin,2025-10-21T11:17:55Z,Xiaomi 17 pro max kpn bg?,Umum,Netral
@faturrohman9314,2025-10-21T10:44:38Z,"udh sebulan bang, kapan upload repiwnya?",Umum,Netral
